UF_Id;Munic_Id;Munic_Id6;Munic_Nome;Capital
11;1100015;110001;ALTA FLORESTA D'OESTE;0
11;1100023;110002;ARIQUEMES;0
11;1100031;110003;CABIXI;0
11;1100049;110004;CACOAL;0
11;1100056;110005;CEREJEIRAS;0
11;1100064;110006;COLORADO DO OESTE;0
11;1100072;110007;CORUMBIARA;0
11;1100080;110008;COSTA MARQUES;0
11;1100098;110009;ESPIGÃO D'OESTE;0
11;1100106;110010;GUAJARÁ-MIRIM;0
11;1100114;110011;JARU;0
11;1100122;110012;JI-PARANÁ;0
11;1100130;110013;MACHADINHO D'OESTE;0
11;1100148;110014;NOVA BRASILÂNDIA D'OESTE;0
11;1100155;110015;OURO PRETO DO OESTE;0
11;1100189;110018;PIMENTA BUENO;0
11;1100205;110020;PORTO VELHO;1
11;1100254;110025;PRESIDENTE MÉDICI;0
11;1100262;110026;RIO CRESPO;0
11;1100288;110028;ROLIM DE MOURA;0
11;1100296;110029;SANTA LUZIA D'OESTE;0
11;1100304;110030;VILHENA;0
11;1100320;110032;SÃO MIGUEL DO GUAPORÉ;0
11;1100338;110033;NOVA MAMORÉ;0
11;1100346;110034;ALVORADA D'OESTE;0
11;1100379;110037;ALTO ALEGRE DOS PARECIS;0
11;1100403;110040;ALTO PARAÍSO;0
11;1100452;110045;BURITIS;0
11;1100502;110050;NOVO HORIZONTE DO OESTE;0
11;1100601;110060;CACAULÂNDIA;0
11;1100700;110070;CAMPO NOVO DE RONDÔNIA;0
11;1100809;110080;CANDEIAS DO JAMARI;0
11;1100908;110090;CASTANHEIRAS;0
11;1100924;110092;CHUPINGUAIA;0
11;1100940;110094;CUJUBIM;0
11;1101005;110100;GOVERNADOR JORGE TEIXEIRA;0
11;1101104;110110;ITAPUÃ DO OESTE;0
11;1101203;110120;MINISTRO ANDREAZZA;0
11;1101302;110130;MIRANTE DA SERRA;0
11;1101401;110140;MONTE NEGRO;0
11;1101435;110143;NOVA UNIÃO;0
11;1101450;110145;PARECIS;0
11;1101468;110146;PIMENTEIRAS DO OESTE;0
11;1101476;110147;PRIMAVERA DE RONDÔNIA;0
11;1101484;110148;SÃO FELIPE D'OESTE;0
11;1101492;110149;SÃO FRANCISCO DO GUAPORÉ;0
11;1101500;110150;SERINGUEIRAS;0
11;1101559;110155;TEIXEIRÓPOLIS;0
11;1101609;110160;THEOBROMA;0
11;1101708;110170;URUPÁ;0
11;1101757;110175;VALE DO ANARI;0
11;1101807;110180;VALE DO PARAÍSO;0
