tx_bairro;Freq;per
CENTRO;186085;0,202736785910782
ZONA RURAL;71573;0,0779776982453847
INTERIOR;8220;0,00895556536091909
SEDE;5939;0,0064704504475059
Não informado;4469;0,00486890773697657
BELA VISTA;4008;0,00436665522707588
SANTO ANTONIO;2983;0,00324993326905373
RURAL;2753;0,00299935175652193
BOA VISTA;2713;0,00295577236303814
SAO JOSE;2479;0,00270083291115796
ASA SUL;2372;0,00258425803358882
VILA NOVA;2346;0,00255593142782435
SAO FRANCISCO;2110;0,00229881300626999
CIDADE NOVA;2074;0,00225959155213457
CAMPO GRANDE;2051;0,00223453340088139
SANTA CRUZ;2039;0,00222145958283626
ASA NORTE;1997;0,00217570121967828
SAO CRISTOVAO;1915;0,0020863634630365
LIBERDADE;1644;0,00179111307218382
JARDIM AMERICA;1516;0,00165165901303569
NOVO HORIZONTE;1322;0,0014402989546393
PLANALTO;1176;0,00128123416842346
SANTANA;1136;0,00123765477493967
SANTA MARIA;1107;0,00120605971466392
SAO JOAO;1100;0,00119843332080426
SAO PEDRO;1096;0,00119407538145588
SAO SEBASTIAO;1084;0,00118100156341074
IPIRANGA;1082;0,00117882259373655
FLORESTA;1072;0,0011679277453656
JARDIM PAULISTA;1050;0,00114395907894952
SANTA LUZIA;1012;0,00110255865513992
ALVORADA;974;0,00106115823133032
SANTA TEREZINHA;965;0,00105135286779646
SANTO AMARO;954;0,00103936853458842
VILA MARIANA;945;0,00102956317105457
BARRA DA TIJUCA;942;0,00102629471654328
SANTA RITA;935;0,00101866832268362
AEROPORTO;911;0,000992520686593344
BOTAFOGO;897;0,000977267898874018
SETOR CENTRAL;875;0,000953299232457932
JACAREPAGUA;870;0,000947851808272458
FATIMA;869;0,000946762323435364
PINHEIROS;827;0,000901003960277383
JARDIM PRIMAVERA;823;0,000896646020929004
CIDADE ALTA;810;0,000882482718046772
COPACABANA;793;0,00086396147581616
PARAISO;793;0,00086396147581616
BANGU;786;0,000856335081956497
CRUZEIRO;783;0,000853066627445213
PETROPOLIS;783;0,000853066627445213
BOQUEIRAO;770;0,00083890332456298
ELDORADO;766;0,000834545385214601
DISTRITO;757;0,000824740021680748
INDUSTRIAL;752;0,000819292597495274
TIJUCA;746;0,000812755688472706
SAO GERALDO;744;0,000810576718798516
ALDEOTA;733;0,000798592385590474
